sale_id, make, type, style, cost_$, purchased_date, salesman_id
1, Honda, Sedan, Accord,28000, 2023-05-15,104
2, BMW, SUV, X5,60000, 2023-02-20,102
3, Audi, Sedan, A4,45000, 2022-11-13,104
4, Ford, Truck, F-150,40000, 2023-07-24,103
5, Nissan, Hatchback, Civic,22000, 2023-03-30,103
6, Mercedes, Sedan, C-Class,45000, 2022-09-17,101
7, Toyota, SUV, GLC,52000, 2023-01-05,102
8, Audi, SUV, Q5,55000, 2022-08-21,101
9, BMW, Truck, Frontier,28000, 2023-04-18,104
10, Honda, Sedan, Accord,28000, 2022-10-09,102
11, Nissan, SUV, Rogue,29000, 2023-06-27,104
12, Ford, SUV, RAV4,30000, 2022-12-15,101
13, Mercedes, SUV, X5,60000, 2023-08-10,102
14, Toyota, Truck, Tacoma,33000, 2023-09-05,103
15, Audi, Sedan, A4,45000, 2023-07-12,103
16, BMW, SUV, Explorer,35000, 2023-02-22,103
17, Ford, Sedan, Fusion,27000, 2022-11-30,103
18, Nissan, Coupe, TT,60000, 2023-03-14,101
19, Mercedes, Sedan, C-Class,45000, 2022-09-08,102
20, Toyota, Coupe, 4 Series,55000, 2023-01-25,101
21, Toyota, Sedan, Corolla,20000, 2023-07-01,103
22, Honda, SUV, CR-V,25000, 2023-07-02,101
23, Ford, Truck, F-150,30000, 2023-07-03,102
24, Audi, Sedan, A4,35000, 2023-07-04,104
25, Nissan, SUV, Rogue,24000, 2023-07-05,102
26, BMW, Sedan, 3 Series,41000, 2023-07-06,101
27, Mercedes, Sedan, C-Class,42000, 2023-07-07,101
28, Toyota, SUV, RAV4,29000, 2023-07-08,104
29, Honda, Sedan, Accord,24000, 2023-07-09,101
30, Ford, SUV, Escape,27000, 2023-07-10,104
31, Audi, SUV, Q5,43000, 2023-07-11,101
32, Nissan, Truck, Frontier,28000, 2023-07-12,101
33, BMW, SUV, X5,57000, 2023-07-13,104
34, Mercedes, SUV, GLC,54000, 2023-07-14,104
35, Toyota, Sedan, Camry,23000, 2023-07-15,101
36, Honda, SUV, Pilot,32000, 2023-07-16,104
37, Ford, Sedan, Fusion,25000, 2023-07-17,101
38, Audi, SUV, Q7,58000, 2023-07-18,102
39, Nissan, Sedan, Altima,23000, 2023-07-19,103
40, BMW, Sedan, 5 Series,51000, 2023-07-20,101
41, Mercedes, Sedan, E-Class,62000, 2023-07-21,101
42, Toyota, SUV, Highlander,36000, 2023-07-22,101
43, Honda, SUV, HR-V,23000, 2023-07-23,103
44, Ford, Truck, Ranger,34000, 2023-07-24,104
45, Audi, Sedan, A6,47000, 2023-07-25,101
46, Nissan, SUV, Murano,33000, 2023-07-26,103
47, BMW, SUV, X3,49000, 2023-07-27,103
48, Mercedes, SUV, GLE,67000, 2023-07-28,103
49, Toyota, Truck, Tacoma,38000, 2023-07-29,103
50, Honda, Sedan, Civic,21000, 2023-07-30,102
51, Ford, Sedan, Taurus,26000, 2023-07-31,102
52, Audi, SUV, Q3,37000, 2023-08-01,104
53, Nissan, Truck, Titan,45000, 2023-08-02,102
54, BMW, SUV, X6,65000, 2023-08-03,103
55, Mercedes, Sedan, S-Class,94000, 2023-08-04,101
56, Toyota, SUV, 4Runner,40000, 2023-08-05,103
57, Honda, SUV, Passport,33000, 2023-08-06,101
58, Ford, Sedan, Focus,22000, 2023-08-07,101
59, Audi, Sedan, A3,34000, 2023-08-08,101
60, Nissan, SUV, Pathfinder,37000, 2023-08-09,103
61, BMW, Sedan, 7 Series,81000, 2023-08-10,101
62, Mercedes, SUV, GLS,91000, 2023-08-11,101
63, Toyota, Truck, Tundra,45000, 2023-08-12,101
64, Honda, Sedan, Insight,25000, 2023-08-13,104
65, Ford, SUV, Edge,32000, 2023-08-14,103
66, Audi, SUV, Q8,73000, 2023-08-15,102
67, Nissan, Truck, NV3500,48000, 2023-08-16,102
68, BMW, SUV, X1,42000, 2023-08-17,103
69, Mercedes, Sedan, CLA,38000, 2023-08-18,104
70, Toyota, SUV, Sequoia,50000, 2023-08-19,103
71, Honda, Sedan, Fit,19000, 2023-08-20,102
72, Ford, Truck, Super Duty,55000, 2023-08-21,102
73, Audi, SUV, SQ5,52000, 2023-08-22,101
74, Nissan, Sedan, Maxima,34000, 2023-08-23,102
75, BMW, Sedan, 4 Series,47000, 2023-08-24,102
76, Mercedes, SUV, GLB,44000, 2023-08-25,103
77, Toyota, Truck, Land Cruiser,85000, 2023-08-26,102
78, Honda, SUV, CR-V,25000, 2023-08-27,101
79, Ford, Sedan, Mondeo,27000, 2023-08-28,102
80, Audi, SUV, Q5,43000, 2023-08-29,102
81, Nissan, Truck, Navara,40000, 2023-08-30,103
82, BMW, Sedan, M5,103000, 2023-08-31,101
83, Mercedes, SUV, GLA,37000, 2023-09-01,104
84, Toyota, SUV, RAV4,29000, 2023-09-02,101
85, Honda, Sedan, Accord,24000, 2023-09-03,104
86, Ford, Truck, F-150,30000, 2023-09-04,104
87, Audi, Sedan, A4,35000, 2023-09-05,102
88, Nissan, SUV, Rogue,24000, 2023-09-06,101
89, BMW, Sedan, 3 Series,41000, 2023-09-07,102
90, Mercedes, Sedan, C-Class,42000, 2023-09-08,102
91, Toyota, SUV, Highlander,36000, 2023-09-09,103
92, Honda, SUV, Pilot,32000, 2023-09-10,104
93, Ford, SUV, Escape,27000, 2023-09-11,102
94, Audi, SUV, Q5,43000, 2023-09-12,102
95, Nissan, Truck, Frontier,28000, 2023-09-13,104
96, BMW, SUV, X5,57000, 2023-09-14,104
97, Mercedes, SUV, GLC,54000, 2023-09-15,103
98, Toyota, Sedan, Camry,23000, 2023-09-16,102
99, Honda, SUV, Pilot,32000, 2023-09-17,104
100, Ford, Sedan, Fusion,25000, 2023-09-18,104
101, Audi, SUV, Q7,58000, 2023-09-19,104
102, Nissan, Sedan, Altima,23000, 2023-09-20,102
103, BMW, Sedan, 5 Series,51000, 2023-09-21,101
104, Mercedes, Sedan, E-Class,62000, 2023-09-22,102
105, Toyota, SUV, Highlander,36000, 2023-09-23,103
106, Honda, SUV, HR-V,23000, 2023-09-24,101
107, Ford, Truck, Ranger,34000, 2023-09-25,102
108, Audi, Sedan, A6,47000, 2023-09-26,102
109, Nissan, SUV, Murano,33000, 2023-09-27,101
110, BMW, SUV, X3,49000, 2023-09-28,101
111, Mercedes, SUV, GLE,67000, 2023-09-29,101
112, Toyota, Truck, Tacoma,38000, 2023-09-30,104
113, Honda, Sedan, Civic,21000, 2023-10-01,104
114, Ford, Sedan, Taurus,26000, 2023-10-02,101
115, Audi, SUV, Q3,37000, 2023-10-03,102
116, Nissan, Truck, Titan,45000, 2023-10-04,104
117, BMW, SUV, X6,65000, 2023-10-05,104
118, Mercedes, Sedan, S-Class,94000, 2023-10-06,104
119, Toyota, SUV, 4Runner,40000, 2023-10-07,101
120, Honda, SUV, Passport,33000, 2023-10-08,102
121, Ford, Sedan, Focus,22000, 2023-10-09,104
122, Audi, Sedan, A3,34000, 2023-10-10,102
123, Nissan, SUV, Pathfinder,37000, 2023-10-11,101
124, BMW, Sedan, 7 Series,81000, 2023-10-12,103
125, Mercedes, SUV, GLS,91000, 2023-10-13,103
126, Toyota, Truck, Tundra,45000, 2023-10-14,104
127, Honda, Sedan, Insight,25000, 2023-10-15,102
128, Ford, SUV, Edge,32000, 2023-10-16,101
129, Audi, SUV, Q8,73000, 2023-10-17,101
130, Nissan, Truck, NV3500,48000, 2023-10-18,104
131, BMW, SUV, X1,42000, 2023-10-19,101
132, Mercedes, Sedan, CLA,38000, 2023-10-20,103
133, Toyota, SUV, Sequoia,50000, 2023-10-21,101
134, Honda, Sedan, Fit,19000, 2023-10-22,101
135, Ford, Truck, Super Duty,55000, 2023-10-23,104
136, Audi, SUV, SQ5,52000, 2023-10-24,104
137, Nissan, Sedan, Maxima,34000, 2023-10-25,103
138, BMW, Sedan, 4 Series,47000, 2023-10-26,103
139, Mercedes, SUV, GLB,44000, 2023-10-27,103
140, Toyota, Truck, Land Cruiser,85000, 2023-10-28,103
141, Honda, SUV, CR-V,25000, 2023-10-29,101
142, Ford, Sedan, Mondeo,27000, 2023-10-30,104
143, Audi, SUV, Q5,43000, 2023-10-31,104
144, Nissan, Truck, Navara,40000, 2023-11-01,101
145, BMW, Sedan, M5,103000, 2023-11-02,101
146, Mercedes, SUV, GLA,37000, 2023-11-03,104
147, Toyota, SUV, RAV4,29000, 2023-11-04,101
148, Honda, Sedan, Accord,24000, 2023-11-05,101
149, Ford, Truck, F-150,30000, 2023-11-06,104
150, Audi, Sedan, A4,35000, 2023-11-07,102
151, Nissan, SUV, Rogue,24000, 2023-11-08,104
152, BMW, Sedan, 3 Series,41000, 2023-11-09,104
153, Mercedes, Sedan, C-Class,42000, 2023-11-10,101
154, Toyota, SUV, Highlander,36000, 2023-11-11,102
155, Honda, SUV, Pilot,32000, 2023-11-12,104
156, Ford, SUV, Escape,27000, 2023-11-13,103
157, Audi, SUV, Q5,43000, 2023-11-14,104
158, Nissan, Truck, Frontier,28000, 2023-11-15,103
159, BMW, SUV, X5,57000, 2023-11-16,103
160, Mercedes, SUV, GLC,54000, 2023-11-17,101
161, Toyota, Sedan, Camry,23000, 2023-11-18,103
162, Honda, SUV, Pilot,32000, 2023-11-19,101
163, Ford, Sedan, Fusion,25000, 2023-11-20,103
164, Audi, SUV, Q7,58000, 2023-11-21,103
165, Nissan, Sedan, Altima,23000, 2023-11-22,101
166, BMW, Sedan, 5 Series,51000, 2023-11-23,102
167, Mercedes, Sedan, E-Class,62000, 2023-11-24,103
168, Toyota, SUV, Highlander,36000, 2023-11-25,102
169, Honda, SUV, HR-V,23000, 2023-11-26,102
170, Ford, Truck, Ranger,34000, 2023-11-27,102
171, Audi, Sedan, A6,47000, 2023-11-28,104
172, Nissan, SUV, Murano,33000, 2023-11-29,104
173, BMW, SUV, X3,49000, 2023-11-30,101
174, Mercedes, SUV, GLE,67000, 2023-12-01,102
175, Toyota, Truck, Tacoma,38000, 2023-12-02,103
176, Honda, Sedan, Civic,21000, 2023-12-03,101
177, Ford, Sedan, Taurus,26000, 2023-12-04,101
178, Audi, SUV, Q3,37000, 2023-12-05,101
179, Nissan, Truck, Titan,45000, 2023-12-06,102
180, BMW, SUV, X6,65000, 2023-12-07,102
181, Mercedes, Sedan, S-Class,94000, 2023-12-08,102
182, Toyota, SUV, 4Runner,40000, 2023-12-09,102
183, Honda, SUV, Passport,33000, 2023-12-10,103
184, Ford, Sedan, Focus,22000, 2023-12-11,102
185, Audi, Sedan, A3,34000, 2023-12-12,101
186, Nissan, SUV, Pathfinder,37000, 2023-12-13,102
187, BMW, Sedan, 7 Series,81000, 2023-12-14,101
188, Mercedes, SUV, GLS,91000, 2023-12-15,102
189, Toyota, Truck, Tundra,45000, 2023-12-16,102
190, Honda, Sedan, Insight,25000, 2023-12-17,102
191, Ford, SUV, Edge,32000, 2023-12-18,101
192, Audi, SUV, Q8,73000, 2023-12-19,103
193, Nissan, Truck, NV3500,48000, 2023-12-20,102
194, BMW, SUV, X1,42000, 2023-12-21,103
195, Mercedes, Sedan, CLA,38000, 2023-12-22,103
196, Toyota, SUV, Sequoia,50000, 2023-12-23,103
197, Honda, Sedan, Fit,19000, 2023-12-24,104
198, Ford, Truck, Super Duty,55000, 2023-12-25,102
199, Audi, SUV, SQ5,52000, 2023-12-26,101
200, Nissan, Sedan, Maxima,34000, 2023-12-27,103
